Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
196.8656__67.75,193091918.2365,162895914.13009,138776866.72205,149833300.25047,169337080.15532,130915090.31771,185064289.48192,200750310.47685,179542291.80939,217839867.13222,200912330.66927,229535348.47258,210005928.24543,306066983.23252,273588003.60774
196.8786__117.79,39341.86167,28472.72582,0,0,0,12655.32086,889146.40473,671580.78605,1013719.27413,15588.26064,13546.06798,71171.24485,0,21458.16971,21463.00511
196.9828__77.74,0,0,0,0,0,0,462867.08134,411594.60113,381712.79444,80610.82376,26463.09317,35278.73559,54002.90976,94838.32831,175736.10474
197.0329__169.97,1420047.88287,763624.20694,814641.04712,1750331.2137,2355421.39677,1034781.71784,1050838.1486,1103768.96531,920429.1098,5085842.70534,5227954.79061,6285359.7408,3118979.31537,4866149.56718,8147613.51601
197.0418__116.74,652129.91962,608718.35508,981380.69125,1258364.09881,1575650.01992,884098.6408,1064187.9928,1089278.01644,1008011.21863,2093808.42046,1969074.30654,2520856.53121,1636156.75706,2250019.44768,4131169.85301
197.1181__24.12,902927.08871,883142.91103,517917.78075,1361438.30154,927109.75956,1699160.28322,2590962.36557,3033003.9198,2884616.93855,1859463.65556,1438388.81941,4416857.19657,2796068.6053,2935765.2224,3895774.6556
197.4634__103.17,0,0,0,0,0,0,502097.67175,707956.47673,695856.51099,340100.54908,8298.07859,106426.66673,22769.46456,399714.01058,495643.10134
197.5247__142.41,0,0,0,0,0,0,3813656.84472,4245762.15976,3221254.96733,0,0,0,0,0,0
197.5454__191.27,99146.85166,43469.36156,27198.84509,0,65458.88602,28936.7374,1816068.7579,1616895.40644,1498006.10222,361618.95885,250479.268,351376.34099,299779.48085,692191.70359,619057.07338
198.0855__135.38,1680646.83567,1891292.05345,644560.44626,2294230.49855,2831434.43332,2999472.00429,372892.5513,534753.40293,334322.74392,2975864.93014,1954287.0557,4120363.02966,3188343.34068,2575526.22288,4753858.30521
198.0983__28,5349357.80984,4355553.43251,6484350.54358,8548471.10075,13027391.95072,7886936.05444,87280489.46558,104377678.35458,98619829.22589,60675620.06531,42657355.80525,102460682.71428,65935603.45312,61122625.82794,117374117.16103
198.5412__138.65,0,0,0,0,0,0,9312964.62966,6016777.0133,3747449.59147,0,0,0,0,0,0
198.8626__67.84,185889881.04875,160242081.33701,135354351.77708,146255306.9871,162031549.80096,130106200.84148,179639361.67564,193818464.6099,175494777.28928,210964195.78152,195065064.13766,224701935.76528,203402148.54419,306578442.7845,270726238.53687
199.1016__28.14,208282.42546,124365.45043,251467.20351,384322.4286,668928.03326,403352.48587,4438852.36368,5246377.92595,5025815.58761,3069714.97125,2299202.07586,5191700.03664,3503039.82694,3259532.37255,6091612.8153
199.1559__59.54,382971.06598,374584.18128,568878.12493,445443.01584,97634.05956,1411523.92044,0,711281.22768,676497.20261,569031.70661,1055947.17765,1437386.42453,561010.77845,1002167.10991,1547880.42083
199.9178__76.29,1883474.00863,1496694.69412,1759924.41214,1466301.09122,1471443.43935,1301527.13553,2282251.60802,1974273.52746,1964115.42452,4648450.39371,4151580.83676,3939951.46045,3442873.40659,6343806.96782,4902677.13862
199.9913__116.21,427407.0237,361184.28993,338778.86814,387401.53751,511272.69765,248123.55934,452587.60062,497336.16122,518376.29862,354648.19824,259963.8135,534842.74761,269739.20965,252004.30411,671574.83589
200.0385__24.1,1418065.35039,2460349.05065,1123753.89337,3080890.34443,1802416.11131,100421.99895,116395.97771,359801.18638,86714.0442,320699.69001,465922.65271,3500745.87778,297416.00164,3031316.21696,406714.73738
200.0548__57.39,148526.67775,0,10227.9309,103912.46014,66836.70878,7767.65117,4254219.18442,4112258.76984,3642468.97902,243455.17021,145014.08259,1135504.93362,226511.05373,754329.70872,722833.55352
200.0689__118.11,16676234.6197,20980698.30909,17734587.92166,16662925.50069,23633407.50265,17616438.39731,111742819.01439,77552122.19965,76896472.70326,57399360.91855,41181877.48539,45301045.79512,56088015.22959,41088732.16523,51221512.48506
200.8599__67.85,62546498.1339,51287394.08464,43486630.81584,46725419.54898,53271954.54998,41949067.13365,57819177.52381,64161665.36006,58930598.35894,70774772.83621,61964503.26081,70399822.95257,64582327.15197,101032877.71454,86569659.18696
200.9964__110.18,1551416.84136,1586708.89605,1520656.28859,234341.2782,1178925.328,1561103.06319,2167851.74989,2387474.09049,2925195.11068,2309538.8948,1847099.25633,1691334.30698,1836508.50304,2841897.62317,2090370.85971
200.9964__203.53,31910334.36104,20865129.14147,60814680.9161,3636341.80499,45914332.24755,66203117.56972,18819196.00535,16815122.28207,11320680.29133,45494478.21031,49308059.46488,43970782.11979,47137111.07332,22214867.96184,37150960.01028
200.9964__92.77,5927786.24567,5423121.88005,5438215.66799,325814.93681,4931205.03569,5426399.44324,10704125.6958,11856896.38006,10212260.17678,8959383.10067,6886423.29417,6720312.02947,6388757.8228,9933155.05977,10795917.46338
200.9964__138.04,17830999.3132,7531263.18051,9285792.74582,0,15608477.73684,7678453.28397,0,32872.53564,13859.12636,11230220.78471,9349781.12014,6321950.55845,7977843.651,7742161.74397,5358842.15716
201.0168__58.22,0,0,0,0,0,0,251691.49848,175823.64046,141844.8501,0,0,110708.4692,0,0,0
201.0724__118.12,1100731.7435,1213051.04485,1249369.543,1130316.26692,1475399.96191,1044260.93279,7876097.62517,5867909.74337,5837372.88787,4228731.40795,3066266.3243,3072463.20547,4113974.49978,2922136.08799,3562630.0981
201.1101__29.55,0,0,0,0,0,0,0,59269.59129,61952.09781,346171.32115,255483.90039,477842.8526,428761.42509,873382.39746,1275648.20343
201.9148__76.82,269867.55234,219618.11004,184910.87899,0,65291.551,141372.85466,446760.33267,343770.11845,394238.57937,1272334.93531,910790.79101,1043861.75048,897378.90159,1893309.76336,1151710.92248
201.9763__31.11,0,0,0,0,0,0,630243.02133,575053.3479,649982.40369,66064.58459,24749.03741,87839.65584,144204.7901,16491.90585,145085.72881
201.9914__43.06,6187.03103,69627.25365,101864.36181,2728.17005,49992.52309,208071.4799,1139074.9923,1155032.49193,1321141.57099,1276192.10721,507937.14869,595061.87332,671596.42304,1649082.74211,1139766.60284
202.007__117.19,798238.87209,599600.4774,739770.07225,522206.28053,637978.35542,637666.2949,57543.23758,87998.20157,123879.73224,309916.61928,471095.51563,563428.60381,350342.72451,940679.31685,931007.18588
202.0166__89.97,599630.73185,429307.71352,1006249.43568,1096806.26638,501632.88623,542310.7384,1496513.42493,1512356.00831,1499579.87986,3093057.49993,2548432.32019,3835245.99978,2335497.41345,3850571.86495,2642649.42149
202.0671__117.87,886366.37325,1185080.44959,1153464.43151,863466.56724,1550031.22466,1118053.76436,8171795.80143,452216.42867,5754581.30333,4189434.26002,2874941.80005,3195532.01759,3965722.90607,2791707.00497,3443415.66635
202.0868__24.08,33539932.36988,147502.14744,73734.91759,43776337.30944,28144812.96594,65398097.1657,116219.80003,113184.71675,91189.93314,113532785.59334,366245.47099,290248.82891,117551048.91393,136402725.59272,498547.60232
202.0869__33.97,0,5096.6973,0,0,0,0,931134.75246,841420.84268,865455.40502,333374.95007,3088.85113,456770.02545,289863.29083,279805.47116,238004.25576
202.1596__57.58,105564.56167,109720.7677,8093.26555,0,63681.96516,174424.01974,365496.25556,0,0,332481.92994,248664.234,530198.10368,425142.74256,471823.68439,427396.80054
202.1808__78.15,404613.76283,206884.73251,161198.977,303818.66627,63507.37698,343364.31285,13815677.4951,13778507.96011,15059149.86913,2162143.62953,809878.33012,2693051.39088,2450744.88297,2066007.46192,2259031.36379
202.8569__67.9,6754921.20089,5370763.54456,4481066.08517,4947001.73988,5715612.19286,4436530.62296,6256647.2549,7210060.4847,6516105.74881,7557006.15988,6658698.25518,7682786.31037,6996502.79676,10612910.24947,9180050.41938
202.9924__57.73,0,0,0,0,0,0,1533440.50561,1473847.7364,1529923.65215,59701.53124,9264.52145,0,31527.26561,118791.10263,36800.36714
203.0148__137,0,347673.77142,0,4093385.52777,0,6868918.80781,19126288.7221,15724108.01121,12844567.09587,0,0,0,0,0,0
203.0224__90.09,4422843.99959,5181999.40546,5800863.88733,7683890.98183,1408359.66422,7848033.50965,10068073.59117,6894114.26977,11206802.54018,9541044.93049,3930252.14677,3407776.8413,7779387.52172,3259809.5806,11296717.26868
203.0533__46.6,3122.47548,0,0,0,0,0,2903118.26999,1473179.08882,2013303.6451,502092.59267,39638.77808,217923.09767,37886.98047,0,93718.65095
203.0534__58.73,11850309.40487,6563937.77643,3052162.99382,2831349.38446,2349970.31374,1810916.54683,28015655.78971,38332285.73817,29994889.91106,492101.38637,7292791.3803,475049.367,1677432.97685,1204474.51648,7681712.99098
203.0575__24.09,2908802.89882,232869.17554,157471.38612,3780492.59343,2489135.04357,5541881.95855,674955.39135,707922.24913,590350.19246,724554.93507,618099.71581,835573.06678,535058.01565,653301.39759,763601.76482
203.0769__138.5,13565.86816,0,0,0,0,0,4578133.33518,4059973.42532,3326300.00596,0,0,0,0,0,0
203.1396__105.03,408197.95959,786348.6075,603718.27472,469136.24334,423930.10112,656572.99187,3175227.57542,2811659.85093,2731694.79758,1508114.11676,4595392.90365,1699088.23845,3835325.75761,3670966.43928,349062.36387
203.1507__169.4,11332061.3918,6699841.85954,3399308.88814,8227292.55253,16473254.7942,4250806.99619,68154841.89109,53614782.49991,44663702.37359,25001031.19606,19653756.46884,48493328.29205,25855420.32224,23134904.84943,53301505.99925
203.1842__78.32,0,0,0,0,13897.63203,0,1459947.39761,1424006.44334,1569137.03089,87501.8138,13815.2861,145482.35126,158141.81397,103091.61091,155403.74916
203.9324__85.93,0,0,0,0,0,0,533650.22878,458298.21584,415132.8253,0,0,0,0,0,0
203.9717__30.97,0,0,0,0,0,0,185430.8919,159896.22468,198275.81816,0,0,13883.46876,30325.36077,2381.19772,41183.06044
204.0496__24.1,1451435.13243,1365246.49339,570924.41186,1957182.08881,1298077.20329,2768540.96362,315964.4677,290150.85797,0,5117006.6666,2836632.66482,14945051.52862,127759.91637,5879915.79971,8949623.80061
204.0567__57.95,426976.13718,103235.63538,17966.31878,0,8137.31191,11997.76658,1699680.12181,2503357.81287,1907279.20746,577460.64898,322037.43628,1443908.1134,89760.37126,0,365730.42887
204.1236__117.59,25056339.25078,36466752.71213,47346048.17899,63932552.645,41316246.78751,44651261.15305,158903268.615,122813679.1988,122399177.08117,95446456.27697,65070881.48839,99216919.49609,88780005.73569,122708352.38607,120459697.83869
204.1237__79.13,0,40840.22021,170449.26569,286674.80145,65205.15165,114832.32673,6505258.44272,6304986.7244,6897616.59054,4817148.75117,3350251.09322,5127633.53842,5900793.95628,7193200.67526,5140009.0754
204.1542__169.62,353689.69469,179950.13182,50406.8054,11997.25661,925129.8693,13010.49752,5268032.41776,4300322.79362,3393757.98036,1938527.1607,1461861.63334,4099245.6673,2256615.56214,1247153.01614,4251057.78136
204.5441__93.74,12334.25706,0,27530.83995,0,0,19943.48851,456623.82944,476651.09405,375148.94486,338174.79113,277709.30513,353810.80766,71407.50018,198077.98762,849392.1181
205.0177__157.46,119721055.9836,113983730.77928,131093937.47818,0,119619646.25131,128409855.8521,10412453.22512,11185306.84716,15339856.35586,98284174.43317,64539107.6212,110586658.04628,44159885.57825,75455803.23934,87159625.3793
205.0177__139.63,89500468.34786,71809510.41396,99322700.25,0,95056922.21339,93605017.75358,593348.79546,914580.4893,1578648.18345,68399512.50891,66781617.28193,62944272.67849,59346716.26629,41401975.50795,148009742.39717
205.0177__183.73,41152961.87875,43423571.87749,44345321.45158,43645954.55098,33865367.72645,67127576.82275,26911463.13252,20370926.03983,820976.70556,38856921.04395,37195664.62467,32939420.46739,47172655.64375,25770823.66535,38054899.00294
205.0177__201.43,26546901.89093,37959061.51118,20549705.07848,34751458.3637,36700379.14673,3915628.91759,12754516.20584,31935764.99938,20987317.94828,30106296.45609,37938963.58021,39919259.91529,36232698.62362,51639542.20351,19643105.83651
205.0177__176.35,63086558.73608,65642338.8005,61174034.77577,60591436.19232,64310305.60865,66839126.57223,282285.02292,17653273.40703,56494835.03444,63132051.94169,52137206.87015,54846230.63299,77510273.72938,2902163.57046,81445680.85144
205.0177__90.3,101704714.81444,92684811.19308,96113791.04664,134943690.36131,65692574.79764,58164218.9973,168375178.30874,176704464.26573,170308851.4984,86466666.71805,138058600.01299,60951484.01957,55717574.86077,103975141.80263,126435940.58103
205.0178__34.37,4859178.47838,4385086.93617,3708012.66003,1047156.96697,5700063.13105,3571637.53146,5016536.71816,5481522.03298,5114553.63337,4468615.55833,3709714.9318,4492554.50003,3971880.53765,2309320.08883,5147315.82386
205.0181__130.61,78562818.76215,84725508.74487,116787996.9633,165893937.64265,60707063.01813,66719243.61241,10000213.75983,10777319.64018,11346952.85432,100453082.33374,132405241.67268,47870896.57735,135582077.51904,40646623.09641,97655016.05169
205.0575__57.69,7327.37071,0,0,0,0,0,135573.40019,328519.60575,296676.33652,57131.85161,19060.03277,189486.03694,6281.16263,0,37818.62691
205.0977__81.26,5187062.59675,18582506.21391,24276359.244,17720586.97537,21602187.53214,15900755.29086,135324608.62615,145663778.90928,133462765.14105,105389128.78556,69148217.78656,129391742.8002,162040416.70201,122921751.45114,181782326.01017
205.0977__103.22,22367940.58274,98585367.51325,110301250.6683,84128375.89519,107179239.94662,103948072.12636,120498384.01169,103542345.26245,114620.31504,83891022.73221,86426309.26721,91490098.17589,102514928.88415,135077187.92612,139348969.43859
205.0977__92.5,381847.35947,4291847.06139,8682106.88665,0,3547992.06479,6090562.21961,58791835.47257,59184167.29424,62042933.32019,65598063.98455,54701131.22448,42327673.96395,39552961.53553,55904683.76054,77006165.09137
205.1151__24.23,704342.79378,1050750.09503,774141.83654,1350604.56246,727158.56174,231658.56332,11252756.43013,11303096.12684,10350498.79287,2251507.64857,1956443.36151,1312360.00152,1873233.75978,125802.27294,725425.48019
205.1269__117.99,2193516.0605,3394743.00325,4014458.00249,5978642.69737,3571860.27263,4299358.53963,14235793.61343,11402218.79287,11497700.61826,7596612.62311,5960534.94192,9138399.00566,7398703.73365,11661368.41394,11222422.55692
206.0211__90.18,10230268.79219,5087127.21231,9678303.53742,4471051.41301,4206534.6831,6215508.36915,7050986.2018,7712860.36497,12932997.60079,11616721.80421,4402686.02108,10005896.50502,9479829.01983,3110277.7981,8107856.75187
206.0211__34.22,295082.34663,234007.91356,231855.81255,0,463389.16965,185338.40409,290205.68825,296659.56443,313494.99812,238160.47923,177369.16766,264698.15708,234266.85141,95973.50856,372486.97546
206.0217__24.42,469445.86544,526367.60148,468440.31529,608977.24084,84982.00719,583564.11389,759222.93498,226978.35149,237521.8228,499102.10743,279270.466,236644.60199,139943.13357,148299.77462,193029.2605
206.0857__118.05,0,0,0,0,0,0,574072.67703,461642.07033,566087.6889,486419.1855,350461.42759,397694.5544,557125.89484,756748.11375,775508.01215
206.1009__80.79,443192.02824,3364046.80782,1133029.53119,3121285.29676,3616968.26241,1021593.01856,15819960.58121,16934859.57263,16272560.65084,12770260.07217,7827412.83572,14811533.89768,19112680.71179,15156536.43764,21604246.66639
206.101__92.92,0,331111.46587,568932.88189,0,64832.71098,554314.41106,6183574.93058,7036666.58822,7144853.8423,8349111.30104,6542677.80213,4809812.83355,4878512.38119,6092275.06228,8825112.89308
206.101__103.18,2647745.72498,11609005.37642,12633947.48738,9826734.75658,13091748.94049,12529527.89477,14050138.17466,12102925.02449,12071081.16588,449638.862,10094772.38286,10628625.96546,11783278.21232,10625039.40974,16899024.8878
206.1545__57.11,52186.79937,35283.14977,0,0,0,0,5604.94491,4447.7672,13144.5508,93934.82125,72500.22621,119571.122,106342.80447,133639.21328,145528.15134
206.5299__142.41,0,0,0,0,0,0,13486601.41164,10955805.97473,8833553.52008,0,0,0,0,0,0
206.8865__118.82,0,0,0,0,0,0,3030605.41041,3623644.91541,3941379.06122,37090.95718,0,17777.52947,0,0,0
206.8945__63.3,112480927.0019,100136278.61614,92227131.81166,87957896.2278,184812402.30766,153300428.35444,117341196.2833,114107178.99872,189580382.89093,211820658.02887,198695946.61854,214460109.24346,206811787.81842,275467776.37932,249616240.90168
206.9269__77.39,0,0,0,0,0,0,334376.31318,428447.71561,505154.42239,1602908.17195,733843.70351,0,0,0,0
207.0148__126.47,0,0,0,3506838.43142,24642.26355,0,924176.07018,664918.05912,831831.8644,0,44431.05028,131420.58897,56027.12011,0,62384.09987
207.0181__35.54,156510.77283,145581.16627,186648.14293,11407.22159,236639.32255,157673.68847,850800.96551,893082.98383,768194.30968,508784.96544,392305.69352,563232.24176,465591.21228,170108.18353,554211.91099
207.0181__24.67,510685.32284,575148.75476,394681.8752,689462.1699,474793.83394,775416.23779,1317318.49763,1408603.6248,1370533.46844,710029.20776,544400.1576,922689.59264,568519.2026,307858.65112,653709.84661
207.0181__91.35,4458157.50633,4497690.75973,4166276.39276,0,2693913.15626,4537598.88789,4987113.54417,3997727.60776,9874349.28255,6046543.45986,5312056.59666,5349416.4394,4826170.26827,2874111.70031,5579493.54558
207.0182__159.83,30741355.95545,35587964.29358,32958130.54131,30847580.93932,27625768.3258,21208535.81188,2359354.80206,4673948.56799,5411540.57026,16973038.8794,29394297.73938,15130401.53277,12473611.27581,14138817.54306,26259680.18207
207.1023__24.14,716093.49594,973391.83776,644984.46964,271780.57004,874103.07999,259971.91649,216684.20703,240247.66215,321130.35946,2315440.32214,2319693.60708,2546100.45492,1574780.7216,1310774.72045,1881113.31821
207.1044__103.14,29569.29838,530479.3359,507411.16022,383932.13925,585554.58951,531101.44567,616542.58433,543979.49462,284203.80025,387882.04234,417052.01257,333806.69519,472061.05522,348728.62311,705026.33602
207.1111__80.92,4875676.46806,5559221.84591,5176683.28916,10203357.51929,5250481.25536,9065033.59263,14132672.88595,12775304.27592,12992829.64954,27997273.48912,24452860.3609,38565408.62409,17245789.4314,16897054.25282,24981889.12169
207.8978__63.62,1609613.84221,1617491.18013,1512636.53642,0,1023719.20018,1594209.35915,1603453.43397,1945164.93713,1791424.81348,1879038.85929,1528352.23088,1693007.3333,1822794.7,1334759.94497,1445970.24662
207.999__117.79,2325296.02732,818395.9477,312037.55941,921007.36427,457653.31796,523190.86461,7654430.66297,8120443.53675,8720841.98188,2731540.61408,1964540.76764,3446950.03258,3052831.61986,2718834.87381,4563793.66579
208.0699__57.75,145720.81809,88343.10035,83815.03551,0,188538.50151,72942.92692,3569348.13972,5084486.20631,3685225.51576,2458448.97054,1417596.576,4515527.47972,1524487.71317,4167651.77906,6345475.67334
208.1057__24.21,88757.08025,106849.29188,65656.29707,143320.28239,100160.71566,170520.19852,98555.24605,170765.72373,190334.8412,178598.11849,230724.34874,254737.78761,134328.43363,138439.82755,172429.78757
208.1143__80.79,216997.75228,429809.42247,390593.93648,899608.3282,209251.15394,674069.3372,1079040.54468,1077630.27616,961375.97673,2414858.97944,2364260.69483,3632970.73413,1604518.89316,1420639.81204,2486110.52251
208.8915__63.83,70690507.81601,117911105.24726,105018059.42667,112771008.10025,120052805.31785,53488643.4453,73439008.97439,77116692.69714,71794280.12633,138676140.74585,129757688.72325,139355354.29141,134973837.87583,179611553.95298,161497338.75388
208.9435__118.47,0,0,0,0,0,0,319214.12382,637900.99714,648946.67642,0,0,0,0,0,0
209.0136__24.44,123052.35462,135197.26207,70761.41795,162140.1452,131046.97524,230126.37409,524047.5857,509193.37404,561344.97774,174854.27157,160432.07724,137323.25946,158606.20004,19998.29825,145141.38481
209.0733__58.16,5441175.47302,3964939.89881,4357986.30772,5997765.419,6162663.75304,4056914.30563,45881963.35926,64469511.22167,49827031.67842,33451338.07018,20892262.57058,59125734.71535,22817486.23462,56771429.99468,85161168.7512
209.0926__104.75,7443298.64922,2455682.65092,5581589.46864,6213707.90435,4766029.75465,13970587.25534,7161452.33925,3602607.73385,6419389.4094,2974354.14905,3218774.26738,3391052.73136,2918874.51322,2074487.67808,8488965.50465
209.118__24.06,817285.3549,1047676.25203,671471.47735,1382777.83998,816100.0688,191054.24999,171779.21557,178603.76142,169528.46447,440609.41118,115992.86207,615522.75282,352169.57148,2928630.08608,595640.81952
209.139__36.43,30399.39239,35246.95027,72726.118,41069.04423,9242.16964,41255.97257,137987.0527,84766.44048,98139.18886,4983875.06534,1888206.72276,3072544.99625,3336933.46023,5221619.02578,6155081.39695
209.9465__108.85,5791850.62779,9555039.78345,10859443.67461,10082253.97054,9048070.65605,9172039.87035,13016104.80971,12709575.77079,7753467.66376,13001228.89794,10806986.41072,6519318.18084,3912447.29891,24442218.61579,10020434.78993
209.9719__118.54,3085191.35649,2867924.85866,0,0,0,3457319.78075,887153.06735,1030883.34107,1118358.67463,0,0,0,0,0,0
210.0492__139.15,1330108.99312,0,0,0,0,0,10939234.14856,7191462.67529,3914593.67493,0,0,0,0,0,0
210.051__108.25,20576088.9929,15889279.17462,17246762.2809,22710807.40616,18419827.86633,21039052.82047,13859431.94523,13894975.09806,13968117.30808,8473230.11322,11013558.39941,10291356.47459,12360769.07947,8340656.62063,15803298.88881
210.0629__36.8,0,0,0,0,0,0,650548.12185,572958.89142,547415.0973,443999.95659,128281.74122,282530.0325,283356.0967,483610.0518,72592.10723
210.1216__24.05,90676.61556,60325.91295,78171.32748,154844.42429,95274.30944,156993.07952,0,0,0,260583.41758,242621.06332,203253.9145,188462.22627,297336.70704,270831.91112
210.8885__64.36,20306302.56135,10452305.09467,16864566.12187,17974631.53401,9910734.14733,16367390.18108,20278471.17254,19901318.1416,18978350.57072,21852551.57138,21166795.04651,22464997.57447,21970023.2106,29222573.38659,26146328.53652
211.0171__191.27,0,12171.82623,16072.3152,0,0,31997.29062,572130.20896,661351.78947,524097.54783,86073.662,40466.65923,92363.85379,16388.13948,28137.8957,131276.6873
211.0542__108.7,1859220.9771,1475747.48945,1450879.43236,2001848.29,1687736.42176,1872488.34667,1202784.58769,1151185.71156,1185310.61422,707635.76952,960718.66786,830012.43781,949625.64235,565149.91882,1331692.28025
211.0776__57.75,0,0,0,0,0,0,494299.66874,678489.52281,517354.35749,329472.53211,100491.28357,577120.19565,167597.92157,579266.38962,855627.53705
211.1334__24.07,281884.99945,305784.93802,233893.85312,578924.40842,308299.04089,595467.93546,131105.97366,81214.17549,756278.94622,1897882.74549,149553.44782,2215079.1696,1239105.44698,1476632.62972,1782161.53456
211.43__130.66,0,0,0,0,0,0,393976.36985,350046.5485,383493.5754,0,0,0,0,0,0
211.9412__102.11,0,5897.01027,7005.37917,0,6720.11835,0,2687253.32471,2764132.67291,2647803.28406,1908404.19509,394530.58086,1748353.35963,634920.19948,866506.02054,2008185.7424
212.0958__66.74,1231169.78954,953622.6408,594518.13938,741197.29051,995052.37626,728871.41789,0,0,0,0,0,0,0,0,0
212.1497__38.7,0,0,0,0,0,0,221985.99985,167118.51908,154682.06768,1180904.99707,54875.16345,774824.48557,477810.05158,266236.5188,70088.50106
212.8396__71.36,4878291.02279,5088725.25999,3922063.19609,4312084.65994,4823840.11368,3096237.27066,17194466.31541,17844054.85361,16482097.49267,12721747.36478,11399510.7028,12032535.65605,11779699.03111,19722200.25265,15570809.10602
213.0001__57.96,347150.58827,172872.99778,462387.0973,761351.8385,633944.07967,453662.58101,4510164.86155,3798453.12064,3150477.87847,865651.70093,529066.63986,51698.07611,615761.13424,1345525.25052,2301964.29627
213.0987__165.05,125475.41903,355768.27517,85924.37832,0,66196.3721,50443.22285,7602854.24872,6270042.75278,5428800.11014,649908.58276,1802403.90271,618075.04123,460432.62724,340983.75028,73609.84385
213.1127__24.07,159419.15967,402958.67014,178997.9312,453294.73841,114752.1816,218268.64975,19294.1959,217589.20348,227267.61623,450701.60773,485997.72068,562582.61899,235906.85314,608947.31545,349195.47755
213.1239__117.23,1723415.22982,484462.09843,31422.20029,0,0,861370.00248,598753.03844,572777.32005,709653.38328,593701.06689,2565785.42183,347617.66511,1000694.07095,995309.44909,44588.9583
213.4995__154.44,0,0,0,0,0,0,55614547.2412,81642719.82674,43930278.20199,0,0,0,0,0,0
213.9833__156.91,9608884.6479,9069056.29097,8056483.10305,0,4279920.5727,9286513.14855,43716.00942,358078.08224,237227.45326,6764331.69951,8799304.98043,7111662.98988,6851485.55916,15977949.86639,7458578.7739
213.9834__75.81,16314719.69576,17642135.34698,16226402.37463,15251823.77153,16440580.55861,14038486.13097,14896199.24718,16965443.45639,127998.46231,17507266.71268,16058959.71328,16331321.33458,13008563.23426,21612067.44385,12361340.8839
213.9834__87,16063802.43312,15365078.22441,15942913.34631,15374560.33151,16401785.01102,5829381.49889,61785025.61456,65453805.43686,60529921.18351,51806951.76539,41717622.47443,31358308.37013,29098645.23107,69197883.21967,50845085.13166
214.0069__116.48,17728775.32816,5397108.60357,2330780.46509,6397056.99058,4089148.82863,4334658.8552,8419284.82327,7203232.28406,6247303.54651,6297909.92346,4994207.17354,9335482.02726,6153341.16556,7057986.23441,15606086.37769
214.0877__23.96,131296.4157,0,77805.03844,199163.85287,81665.3437,195270.91139,82291.25766,68696.05982,215411.63488,327430.36841,352125.48116,457866.93969,246823.00008,0,286850.32011
214.0878__58.85,48451.08341,106436.58282,0,0,41730.58314,405210.60326,150220.93144,125902.15534,155251.81989,307837.42446,88761.72454,313707.37163,328692.02904,145681.71119,1663326.69607
214.4439__103.71,0,0,0,0,0,0,339664.1344,407487.38287,328125.26567,9705.88867,0,28550.75083,0,16972.22252,132935.85575
214.8366__71.36,4306798.71099,4946102.06997,4081243.26928,4105479.94998,4732390.34625,3299862.2979,16310961.09127,16627189.24056,16807684.19431,12098984.29686,10777512.56739,11323134.89941,11709746.50878,20085481.28494,15599202.97838
215.0519__132.26,0,0,0,0,0,0,783877.37878,765113.11327,286929.33885,0,0,0,0,0,0
215.1284__24.06,9315276.56947,10509749.63712,4624466.69928,11575065.15872,10897255.84245,12784377.81062,829194.11736,755224.36043,652121.23631,18991347.49685,11488029.25526,10835922.35078,9774171.51173,11841273.00448,20294738.12744
215.9804__76.3,5314043.21914,5398952.26333,4923426.33157,0,5240985.35541,3886856.48391,521731.73908,4748544.23742,556884.52749,6018955.43889,5072147.59462,5487207.92877,4826606.42982,170718.59666,4888715.15305
215.9807__86.5,5032221.49177,4772259.09158,2719752.64035,5690903.99679,5134699.59518,5545646.92439,19907527.76146,15607803.96417,20412616.66885,17244027.08291,13127582.44118,15387278.26879,13155425.79556,23516985.08157,17438211.70452
215.996__126.73,2468190.59044,1616396.47345,770717.71857,1855717.18933,2224005.64461,1033591.01955,0,0,0,1143636.45062,1116804.53523,2023379.77163,902240.18809,696963.70759,2611511.60898
216.0105__116.74,0,0,66891.73489,0,0,25373.52097,199633.08134,477075.29111,515978.0213,119764.70177,307340.97973,194907.53923,164298.07011,216217.28217,357518.83887
216.0638__164.1,1709775.74503,1041257.19095,477514.56998,1133407.63827,1376574.8451,336754.03471,8242014.92256,8015409.88601,6650425.3982,712476.19749,648383.50943,1166084.0606,911111.84814,807582.86822,1422745.17915
216.1316__24.09,1036664.43169,1227840.5865,520757.30717,1226158.24985,1183017.22694,1471527.69901,0,0,0,2044165.52407,1270072.008,1228309.13526,1048968.48481,1280437.89779,2245696.47208
216.5537__95.16,53945.81765,46613.16526,86743.99643,0,34198.01227,82464.35391,1520423.66935,1227110.05468,1085016.86521,888102.08131,592070.91021,959006.13077,321025.7593,795535.49412,1949210.59189
216.8337__71.36,1462520.66995,1525493.96322,1239132.7121,1233916.51815,1515865.28968,787065.74895,5732726.28784,5504535.9157,5350364.00748,4215441.04095,3585657.69304,3886646.72617,3973446.67328,6698564.74819,5083239.20536
