Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
87.1001__68.11,10536674.7611,13724928.85807,12572554.71905,13167562.0864,12927906.28045,17704361.0455,0,0,0,8080735.09674,12087543.16651,9113799.90645,9659906.32293,13441106.30087,10686245.87926
88.0396__118.26,580689.13722,473551.43372,526186.84049,0,993740.18125,695491.17967,6887621.04703,6974975.34471,446950.89131,4108599.87774,3961933.86831,4306252.4967,5987864.66569,4738964.34877,4764363.89991
88.0634__161.74,5990652.35725,5565827.30796,23231827.96063,3879300.38088,6591815.81478,2658625.76775,11286617.88874,9649632.06015,7599637.32668,7665461.22479,11917821.56697,8034676.79722,10317869.06901,41939233.77629,15008933.86473
88.084__24.41,600429.24374,804082.55302,272354.79181,2549387.97523,177140.64464,1200023.30603,0,315642.28348,0,1035719.95574,1000048.4845,1783941.55998,732282.91187,809802.35517,1185149.85613
88.5093__90.57,10740959.09283,10081605.97519,17542485.32793,0,7102668.36675,10291321.08131,25004590.05081,18270259.8229,26139951.73109,9708306.02631,10932539.74045,10117148.27128,9075907.22513,22307070.83766,18600004.17049
88.5094__24.76,671314.2294,845725.38143,426586.15385,882046.35578,627668.46376,964648.55011,1281825.69246,1279200.8326,1153252.7541,738398.32934,433108.40314,738460.59087,396432.81944,1057127.6289,976707.34171
88.5094__156.42,17907488.68767,19911079.071,18537425.83217,17846386.86204,25442886.04524,32965964.77499,643364.94975,2046324.75549,2693372.60934,19285135.93869,19070312.44931,16295270.859,11170766.75175,35116563.02379,8521635.67215
88.5095__139.11,18507520.35186,12302576.13411,20233350.54784,12499608.28552,29936593.16319,16160720.08,0,0,0,13197554.82029,10989663.07682,6800521.56148,10502358.22139,202605.36066,2168727.50189
88.7195__91.79,0,0,0,0,0,0,237239.24382,381575.61581,338497.71884,0,0,0,0,0,329941.16813
89.0086__91.06,10199466.23894,5134889.83799,10335711.44449,5166459.506,4852040.99515,9984143.77449,7121489.10485,7672698.31103,15123623.29251,7910655.6438,6101789.83453,7039937.29882,7848519.60965,19174514.58584,4843045.89548
